extras
1
13
1.5
1.5
2
2.5
2
1
1
1
1.5
1
2.5
1
3
2
2.5
1
1.5
1.5
2
2.5
2.5
3
1
1
2
1
4.5
3
1.5
1
3.5
10
2
1
1
6.5
6
1.5
15
1.5
5
3
8
5
1
1
14
2
2.5
21
6
3
6
1.5
3
1
10
2
1
8
1
5
2
1
4
2
2
2.5
1
1
16
3.5
1
1.5
4.5
13
1
1.5
8.5
6.5
2
7.5
1
9
4
1
4.5
25.5
4
7.5
5
12
1
4
7
1.5
1
2
27
16
1.5
13
1
1.5
5.5
3
1
1
2
2
3
1
1
0.5
1.5
1
6
1.5
11
4.5
1
15
13
1
13
5
1
27
21
1
3
35
2
1
2
1
3
23
2
19
8
1
1
4
8
3
16
6.5
2.5
6
1
2.5
11.5
11
3.5
1
1
1
1.5
8
5
1
1
13
3.5
2
1.5
3
3
4
21.5
1
2
1
1
2
1
1
10
1
2
5
7
1
5
1
0.5
7.5
1.5
6.5
1
2.5
2
10
15.5
2.5
1.5
2
1
3
2
1
1
5
1
12
7.5
1
20
6
1
4
1
1
1
15
3
3.5
1
3.5
2
1
1
3
12
10
6.5
1
1
2
1
1
1
1
1
1
29.5
10
1.5
1
5
40
1
3
16.5
1
1.5
1.5
1
1
10
3
1
1
1
1.5
1.5
1
4
20
15
1
5.5
6.5
2.5
1
10
1
8.5
1
3
1
1
9
1
1.5
2
13.5
16
1
1
1
1.5
2
1.5
3
10
1.5
10
24
33
14
5
8.5
4
4
22
5
1.5
1
2.5
3
12.5
1.5
9
1.5
1
1.5
3
2.5
1
2
12
1
1
1
12
1
27
1.5
1
9.5
16
4
30
3.5
1
1
7
3.5
10
3
6
15.5
12
5
3
1
21.5
2.5
1
2.5
1
1
5
1
6.5
3
1.5
1
1
1
5.5
22
1
1
1
1.5
11
20
8
10
1
9
1
1
1
1
1
1.5
5
12.5
1
12
1
1
18
19
8.5
1.5
24.5
1
1
1
2.5
14
4.5
1
6
1
1
1
3
3.5
1.5
7.5
1
1
4
1
1.5
40
1.5
6.5
1
16
1
2
1
3
1
5
3
4
5.5
1
2
3.5
5
17
10.5
18
2
1.5
3.5
2
3
3.5
1.5
1.5
2.5
2
4.5
2
4
16
10.5
2
1
0.5
1
15
22
2
11.5
3
6
3
1
3
9
5
1
1.5
1
1
1.5
6
1.5
9
10
1
7
2
1
1
2
2.5
7.5
11
1.5
9.5
2
4.5
15
2
1
1
6
1
6.5
1
2
0.5
2.5
1
15
1
1
1
1
2
5
18
4
1
6
32
1.5
17
34
1
0.5
2
2
3
6
15
6
1.5
4
13.5
2
12
2
2
1.5
3
2.5
1
13
14
2
12
1
3
1
1.5
3.5
1.5
17
3
1
8
7
1
1
4.5
1.5
1
1
1
1
21
9
2
15.5
1
1
1
6.5
4
2
2.5
2.5
2
1
2.5
1
1
22.5
6
1
3.5
9
28
12.5
2.5
8
7
1
5
11
7
5.5
10
11
6
99.5
2
7
2
10.5
7
3
18
20
2.5
12
15
18.5
1
2
3
19.5
7
5
2
1
13.5
11.5
1.5
23.5
9
8
3
2
2.5
3
10.5
2
5
1
1
3
2
15
1
1
2.5
2.5
1
3.5
7.5
1
2
4
7
1.5
4.5
1
1
24
2
25
13
16
6
1.5
3
1.5
1
6
1.5
1
12.5
13
1
4
17.5
7
11
6.5
2
1
2.5
1.5
4
1
21
5.5
2
1
2
15
1
3.5
1
1
15
12
2
1
25
2
14
1
1.5
1
1
4
7
6
3.5
24
1
12.5
16.5
1
2
1.5
1
8.5
7.5
19.5
3
6.5
1
27
2
1
7
1
1
24
27
2
35.5
1.5
52
5
13.5
1
24.5
2.5
2.5
26.5
25
17.5
1
3
3
16
13
2
2.5
12
1
2
39.5
17
1.5
36.5
1
4
12
2
21
1
2
1
1
1
9.5
7
10
5.5
1
15
1
1
6.5
1
1
18
3.5
1.5
1
1
1
1
1
2.5
1
15
4.5
11
1.5
1
8
15
1
25
3
1.5
3.5
2
5
6
1
19.5
1
6
12
1
5.5
1
1
25
1
1
2
12
6.5
17
4
4
3.5
15
23
2
2
1
2.5
1
11
1
2
2
1
2
2
1
5
1
1
2
2.5
1
1.5
6
1
2.5
1
1
17
99.5
1.5
4
3
2
1
2
1
9
2
2
1.5
12
1
1
4
2
6
10
17.5
13.5
2
2
2.5
2
1
1.5
3
1
3
1
2
2
1
5
1.5
12
3.5
1.5
2
2.5
1
1
1
22
2
1
1
13.5
15
2
4.5
1
8.5
13
1
14.5
5
5
15
1
6
11
1
2
10
6
1
2
2
1
3.5
10
3
8
1
1
4
1
5
26
1
1
1
7.5
1
7
4.5
0.5
1
1
2.5
3
1
1
3
2
8
1
6
3
1
3
2
1
3.5
1
4
6
6
3
1
2.5
1
1
1.5
9
15
2
1
3.5
9.5
2
1
3
2
1
1.5
1
1
1
4
1
1
9
1
3
4
2
6
1
1.5
5
3
3
8.5
3
1.5
4
8
1
1
1.5
4
1.5
1
5.5
3
1
6.5
1
3
9
4
3
3
4
3.5
3
6
3
7.5
